"Sex, high school or bachelor's degree attainment, and year","Total, percent of all persons age 25 and over",,White\1\,,Black\1\,,Hispanic,,Asian/Pacific Islander,,,,,,"American Indian/
Alaska Native ",,Two or more races,
    2008 .................................,87.2,(0.17),91.8,(0.18),84.2,(0.49),63.7,(0.61),87.2,(0.75),87.0,(0.78),93.0,(1.57),79.2,(2.95),89.5,(1.53)
    2009 .................................,87.1,(0.16),91.9,(0.17),84.2,(0.48),63.3,(0.59),86.4,(0.73),86.3,(0.75),89.7,(2.33),82.7,(1.96),87.6,(1.16)
    2010 .................................,87.6,(0.15),92.3,(0.17),85.0,(0.46),64.4,(0.59),87.2,(0.72),87.1,(0.75),90.9,(2.41),82.5,(1.95),89.7,(1.13)
,,,,,,,,,,,,,,,,,,
    2011 .................................,88.0,(0.15),92.8,(0.16),85.3,(0.50),65.1,(0.57),87.1,(0.64),87.0,(0.66),89.5,(2.25),83.8,(2.00),90.7,(1.22)
    2012 .................................,88.0,(0.17),92.7,(0.18),86.1,(0.46),66.0,(0.65),87.8731,(0.64),87.8,(0.66),90.1493,(2.11),81.8,(1.84),91.6,(1.13)
    2013 .................................................................................................,88.6,(0.16),93.2,(0.16),86.6,(0.46),67.9,(0.55),89.0,(0.61),88.9,(0.63),89.6,(2.01),83.1,(2.16),92.0,(0.95)
    2014 .................................................................................................,88.9,(0.17),93.7,(0.20),87.0,(0.55),67.9,(0.61),87.4,(0.76),87.4,(0.77),87.8,(2.98),81.6,(2.78),92.8,(1.28)
    2015 .................................................................................................,88.8,(0.14),93.5,(0.15),88.2,(0.43),67.8,(0.53),87.1,(0.60),87.2,(0.62),85.3,(2.46),85.6,(2.10),90.9,(1.14)
,,,,,,,,,,,,,,,,,,
    2016 .................................................................................................,89.6,(0.14),94.3,(0.15),88.3,(0.39),69.7,(0.53),89.3,(0.55),89.2,(0.56),91.8,(2.26),85.2,(1.69),92.8,(1.07)
    2017 .................................................................................................,90.0,(0.14),94.5,(0.14),88.6,(0.43),71.6,(0.52),89.4,(0.54),89.4,(0.56),89.5,(2.20),87.2,(1.52),93.6,(0.92)
,,,,,,,,,,,,,,,,,,
"  Bachelor's or higher 
     degree\4\",,,,,,,,,,,,,,,,,,
    1940 ................................,3.8,(---),4.0,(---),1.2,(---),---,(†),---,(†),---,(†),---,(†),---,(†),---,(†)
    1950 ................................,5.2,(---),5.4,(---),2.4,(---),---,(†),---,(†),---,(†),---,(†),---,(†),---,(†)
    1960 ................................,5.8,(---),6.0,(---),3.6,(---),---,(†),---,(†),---,(†),---,(†),---,(†),---,(†)
    1970 ................................,8.2,(---),8.6,(---),5.6,(---),---,(†),---,(†),---,(†),---,(†),---,(†),---,(†)
    1980 ................................,13.6,(0.20),14.4,(0.23),8.1,(0.59),6.2,(0.79),---,(†),---,(†),---,(†),---,(†),---,(†)
    1990 ................................,18.4,(0.21),19.8,(0.25),10.8,(0.59),8.7,(0.69),37.8,(2.01),---,(†),---,(†),---,(†),---,(†)
    1995 .................................,20.2,(0.22),22.1,(0.26),13.0,(0.62),8.4,(0.61),35.0,(1.90),---,(†),---,(†),---,(†),---,(†)
,,,,,,,,,,,,,,,,,,
    1996 .................................,21.4,(0.23),23.2,(0.27),14.8,(0.58),8.3,(0.53),38.0,(1.50),---,(†),---,(†),---,(†),---,(†)
    1997 ................................,21.7,(0.21),23.7,(0.25),14.0,(0.56),10.1,(0.46),37.4,(1.43),---,(†),---,(†),---,(†),---,(†)
    1998 ................................,22.4,(0.21),24.1,(0.25),15.4,(0.58),10.9,(0.47),38.9,(1.39),---,(†),---,(†),---,(†),---,(†)
    1999 ................................,23.1,(0.22),25.0,(0.26),16.5,(0.59),11.0,(0.46),39.0,(1.37),---,(†),---,(†),---,(†),---,(†)
    2000 .................................,23.6,(0.22),25.5,(0.26),16.8,(0.59),10.6,(0.44),41.0,(1.37),---,(†),---,(†),---,(†),---,(†)
,,,,,,,,,,,,,,,,,,
    2001 ................................,24.3,(0.22),26.5,(0.26),16.3,(0.58),11.3,(0.45),43.4,(1.26),---,(†),---,(†),---,(†),---,(†)
    2002 .................................,25.1,(0.15),27.3,(0.19),17.7,(0.42),11.2,(0.31),44.2,(0.91),---,(†),---,(†),---,(†),---,(†)
    2003 ..............................,25.7,(0.15),27.9,(0.19),18.0,(0.43),11.6,(0.30),45.3,(0.89),46.3,(0.92),28.0,(3.50),12.2,(1.81),22.2,(1.61)
    2004 ..............................,26.1,(0.15),28.4,(0.19),18.5,(0.43),12.3,(0.31),45.2,(0.88),45.7,(0.90),32.9,(4.01),13.1,(1.84),22.7,(1.59)
    2005 .................................,26.5,(0.23),28.9,(0.30),18.9,(0.51),12.1,(0.42),46.0,(1.08),46.8,(1.10),24.1,(4.08),12.2,(2.00),23.3,(1.43)
,,,,,,,,,,,,,,,,,,
    2006 .................................,26.9,(0.22),29.3,(0.28),19.5,(0.55),12.9,(0.39),46.6,(1.11),47.3,(1.15),27.2,(4.03),12.3,(1.81),23.6,(1.70)
    2007 .................................,28.0,(0.23),30.6,(0.29),19.2,(0.59),13.7,(0.44),48.6,(1.07),49.5,(1.10),27.9,(4.16),13.4,(1.53),25.8,(1.58)
    2008 .................................,28.8,(0.24),31.5,(0.29),20.5,(0.58),14.1,(0.37),49.3,(0.99),50.1,(1.02),29.3,(3.82),15.1,(1.75),26.1,(1.92)
    2009 .................................,29.1,(0.21),31.9,(0.26),20.6,(0.56),14.0,(0.41),48.8,(0.98),49.7,(1.02),32.9,(3.74),18.8,(1.91),26.6,(1.67)
    2010 .................................,29.6,(0.21),32.4,(0.26),21.6,(0.63),14.9,(0.42),49.1,(1.12),49.9,(1.19),32.2,(4.11),18.2,(1.83),25.7,(1.59)
,,,,,,,,,,,,,,,,,,
    2011 .................................,30.1,(0.22),33.1,(0.28),21.7,(0.60),15.2,(0.43),47.0,(1.04),48.0,(1.07),24.7,(3.52),17.9,(2.17),28.9,(1.70)
    2012 .................................,30.6,(0.23),33.5,(0.30),22.9,(0.61),15.8,(0.45),48.6286,(0.93),49.7,(0.94),24.8954,(3.70),17.2,(2.13),28.8,(1.88)
    2013 .................................................................................................,31.4,(0.24),34.4,(0.31),23.4,(0.61),16.2,(0.42),50.2,(0.94),51.3,(0.96),28.0,(3.44),16.6,(2.05),32.0,(1.89)
    2014 .................................................................................................,32.0,(0.32),35.3,(0.42),24.2,(0.75),16.1,(0.50),49.3,(1.12),50.4,(1.15),27.1,(4.38),13.1,(1.92),33.1,(2.08)
    2015 .................................................................................................,32.7,(0.25),36.1,(0.32),24.3,(0.60),16.6,(0.42),50.4,(0.82),51.8,(0.85),21.3,(3.13),21.3,(1.71),33.4,(1.96)
,,,,,,,,,,,,,,,,,,
    2016 .................................................................................................,33.7,(0.27),37.3,(0.32),24.8,(0.54),17.4,(0.47),52.9,(0.96),53.8,(0.97),32.4,(3.94),17.0,(1.78),35.0,(2.17)
    2017 .................................................................................................,34.6,(0.28),38.3,(0.36),25.7,(0.59),18.6,(0.48),52.3,(0.94),53.8,(0.97),24.2,(3.54),22.9,(2.73),34.6,(1.87)
